orthogroup gr01 gr02	sp01 sp02	spM01 spM02
OG0006419 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006420 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006421 -9.6931468110689 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.40165420266268 -9.40176332141653
OG0006422 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006423 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006424 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006425 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006426 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006427 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006428 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006429 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006430 -9.69314681111163 -9.69314623217989	-9.69314734395396 -9.69314678273689	-9.69314744311104 -9.69314731621808
OG0006431 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006432 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006433 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006434 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006435 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006436 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006437 -9.69314681106894 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298634 -9.69314731621808
OG0006438 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006439 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006440 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006441 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006442 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006444 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006445 -9.69314681106905 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298633 -9.69314731621808
OG0006446 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006447 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006448 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006449 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006450 -10.7917574460275 -10.7917595019207	-10.7917604620669 -10.7917605802315	-10.7917595208632 -10.848459969606
OG0006451 -9.6931468110689 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.40165420266268 -9.40176332141653
OG0006452 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006453 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006454 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006455 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006456 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006457 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006458 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006459 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006460 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006461 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006462 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006463 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006464 -10.7917574459092 -10.7917595019207	-10.7917604618148 -10.7917605802308	-10.7917595181496 -10.8484599696001
OG0006465 -12.0312293509539 -12.0312293582909	-11.8864956219901 -11.8865203347483	-11.6607641161368 -11.6607642469271
OG0006466 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006467 -9.69314681111163 -9.69314623217989	-9.69314734395396 -9.69314678273689	-9.69314744311104 -9.69314731621808
OG0006468 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006469 -9.69314681123558 -9.69314623217989	-9.69314734395437 -9.69314678273689	-9.69314744299001 -9.69314731621808
OG0006470 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006471 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006472 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006473 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006474 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006475 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006476 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006477 -9.6931468110689 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298634 -9.69314731621808
OG0006478 -10.3862943734595 -10.3862943779351	-10.386294033698 -10.386294626324	-10.3862944418937 -10.3862949520515
OG0006479 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006481 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006482 -11.0794416234672 -11.0794412707146	-11.0794415773351 -11.079458734729	-10.7876871679049 -10.6368455039186
OG0006483 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006484 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006485 -9.69314681111163 -9.69314623217989	-9.2415726335133 -9.25588248589155	-9.40170287035759 -9.40165721167611
OG0006486 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006487 -9.69314681123558 -9.69314623217989	-9.69314734395437 -9.69314678273689	-9.69314744299001 -9.69314731621808
OG0006488 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006489 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006490 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006491 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006492 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006493 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006495 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006496 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006497 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006498 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006499 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006500 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006501 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006502 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006503 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006504 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006505 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006506 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006507 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006508 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006509 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006510 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006511 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006512 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006513 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006514 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006515 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006516 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006517 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006518 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006519 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006520 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006521 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006522 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006523 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006524 -9.69314681111175 -9.69314623217989	-9.24157263350696 -9.25588248589154	-9.40170287035759 -9.40165721167611
OG0006525 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006526 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006527 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006528 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006529 -9.69314681106905 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298633 -9.69314731621808
OG0006530 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006531 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006532 -9.69314681106905 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298633 -9.69314731621808
OG0006533 -10.7917574459338 -10.7917595019207	-10.7917604619188 -10.7917605802315	-10.7917595190309 -10.8484599696022
OG0006534 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006535 -9.69314681106894 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298634 -9.69314731621808
OG0006536 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006537 -9.69314681106905 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298633 -9.69314731621808
OG0006538 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006539 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006540 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006541 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006542 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006543 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006544 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
